ID,Segmentation
458989,B
458994,C
458996,A
459000,C
459001,D
459003,B
459005,B
459008,C
459013,C
459014,D
459015,D
459016,D
459024,C
459026,D
459032,D
459033,B
459036,A
459039,C
459041,B
459045,A
459056,C
459057,A
459058,A
459059,B
459061,D
459064,D
459065,A
459074,C
459077,A
459079,A
459080,A
459083,C
459090,A
459091,C
459093,C
459100,B
459106,B
459114,C
459116,C
459117,C
459118,D
459119,C
459120,D
459121,C
459123,A
459130,A
459132,D
459136,C
459140,D
459143,B
459144,B
459145,D
459150,A
459160,C
459161,B
459162,C
459163,A
459167,B
459170,A
459171,C
459172,D
459175,C
459181,C
459182,C
459184,A
459185,A
459193,A
459194,C
459196,D
459208,C
459209,D
459210,C
459212,C
459213,D
459216,C
459220,C
459221,A
459222,C
459223,C
459224,C
459227,A
459229,B
459236,A
459237,A
459244,B
459247,B
459258,A
459263,D
459264,A
459266,D
459270,B
459284,C
459287,D
459288,C
459289,A
459290,C
459292,B
459293,D
459296,C
459300,C
459307,A
459310,A
459316,D
459318,D
459320,D
459322,D
459323,D
459338,D
459339,D
459344,C
459347,A
459349,C
459352,A
459353,C
459354,C
459355,A
459360,D
459361,A
459362,B
459363,B
459364,C
459369,A
459375,A
459377,C
459383,A
459384,C
459385,C
459386,A
459391,A
459394,A
459397,C
459398,C
459401,D
459403,C
459405,A
459407,B
459409,B
459410,C
459412,C
459413,C
459415,D
459418,C
459419,C
459420,B
459421,D
459422,A
459423,D
459424,B
459428,D
459432,A
459436,B
459439,C
459445,C
459447,B
459449,C
459451,C
459456,D
459458,D
459459,B
459461,B
459464,A
459466,C
459467,C
459469,D
459471,C
459480,A
459481,A
459482,D
459485,C
459496,A
459497,A
459499,A
459503,D
459505,A
459507,D
459509,D
459512,B
459515,A
459516,C
459518,B
459535,C
459536,D
459538,D
459541,B
459549,D
459555,B
459558,D
459564,D
459566,B
459567,C
459571,B
459576,D
459579,B
459581,D
459582,D
459583,B
459585,C
459587,A
459588,B
459591,C
459592,D
459594,B
459597,C
459603,A
459607,B
459608,A
459612,D
459616,D
459617,D
459618,C
459621,D
459625,A
459626,D
459632,D
459644,A
459652,A
459658,C
459664,A
459665,C
459672,C
459673,A
459678,D
459680,A
459686,B
459691,C
459692,C
459693,C
459699,B
459701,B
459710,B
459711,C
459712,D
459713,D
459715,D
459718,D
459725,C
459727,A
459740,D
459742,A
459745,A
459746,C
459747,B
459748,C
459755,C
459756,D
459760,B
459763,D
459767,D
459771,A
459779,A
459780,A
459785,A
459793,C
459795,B
459801,A
459804,B
459806,B
459808,B
459815,A
459816,A
459819,B
459821,A
459822,A
459825,D
459827,A
459832,B
459845,D
459851,A
459853,D
459856,C
459857,A
459861,A
459864,C
459866,C
459867,C
459869,D
459871,A
459885,A
459886,A
459887,C
459889,C
459897,C
459909,A
459910,B
459911,D
459914,A
459923,D
459925,D
459937,A
459943,A
459945,B
459946,C
459949,B
459953,B
459961,A
459962,B
459966,D
459968,A
459970,A
459973,C
459974,A
459975,B
459981,B
459986,B
459995,A
459996,A
459998,C
460004,B
460006,D
460014,D
460023,A
460027,A
460033,A
460036,D
460040,B
460045,B
460046,C
460050,A
460051,A
460052,A
460058,B
460059,D
460061,D
460066,D
460068,A
460073,B
460075,A
460079,A
460081,C
460088,A
460090,A
460093,B
460095,C
460097,B
460099,A
460101,D
460103,A
460105,B
460106,B
460107,C
460108,C
460109,C
460110,B
460112,C
460116,B
460118,C
460119,D
460122,A
460124,A
460126,D
460134,A
460135,D
460140,C
460141,A
460144,B
460146,B
460147,C
460157,D
460160,A
460162,D
460166,D
460167,B
460168,B
460171,C
460174,C
460175,A
460177,B
460179,B
460183,A
460185,D
460187,A
460189,D
460190,D
460192,D
460196,D
460206,A
460211,A
460212,D
460214,C
460222,D
460223,A
460227,D
460242,D
460243,A
460247,D
460248,D
460252,B
460263,B
460265,C
460270,A
460272,D
460275,B
460276,C
460281,D
460283,A
460284,D
460287,B
460289,B
460298,A
460303,B
460305,B
460306,D
460310,D
460315,D
460319,D
460322,A
460323,A
460324,D
460327,B
460333,A
460336,D
460340,B
460341,D
460344,C
460346,C
