ID,Segmentation
458989,D
458994,C
458996,A
459000,C
459001,D
459003,A
459005,B
459008,C
459013,A
459014,D
459015,D
459016,D
459024,C
459026,C
459032,D
459033,C
459036,A
459039,B
459041,B
459045,A
459056,C
459057,B
459058,A
459059,B
459061,A
459064,D
459065,B
459074,A
459077,A
459079,A
459080,B
459083,C
459090,A
459091,B
459093,B
459100,B
459106,A
459114,C
459116,A
459117,B
459118,D
459119,C
459120,D
459121,C
459123,C
459130,A
459132,D
459136,C
459140,D
459143,C
459144,B
459145,D
459150,A
459160,B
459161,C
459162,C
459163,A
459167,B
459170,A
459171,B
459172,D
459175,C
459181,C
459182,B
459184,A
459185,D
459193,B
459194,B
459196,D
459208,C
459209,D
459210,C
459212,C
459213,A
459216,B
459220,A
459221,A
459222,C
459223,C
459224,C
459227,A
459229,B
459236,A
459237,A
459244,B
459247,C
459258,A
459263,C
459264,D
459266,D
459270,A
459284,C
459287,D
459288,A
459289,A
459290,A
459292,C
459293,D
459296,C
459300,C
459307,D
459310,A
459316,A
459318,A
459320,D
459322,A
459323,D
459338,D
459339,A
459344,C
459347,A
459349,C
459352,C
459353,C
459354,C
459355,A
459360,D
459361,D
459362,A
459363,D
459364,B
459369,B
459375,A
459377,C
459383,D
459384,C
459385,B
459386,A
459391,D
459394,D
459397,C
459398,C
459401,B
459403,C
459405,D
459407,B
459409,A
459410,B
459412,C
459413,C
459415,B
459418,C
459419,B
459420,B
459421,D
459422,C
459423,D
459424,A
459428,D
459432,A
459436,B
459439,C
459445,A
459447,B
459449,A
459451,B
459456,D
459458,D
459459,A
459461,A
459464,A
459466,A
459467,C
459469,D
459471,D
459480,A
459481,A
459482,A
459485,B
459496,A
459497,B
459499,A
459503,B
459505,A
459507,A
459509,D
459512,B
459515,B
459516,C
459518,B
459535,C
459536,D
459538,A
459541,B
459549,D
459555,A
459558,D
459564,D
459566,D
459567,C
459571,C
459576,B
459579,B
459581,A
459582,A
459583,A
459585,C
459587,A
459588,B
459591,C
459592,C
459594,B
459597,C
459603,A
459607,B
459608,A
459612,D
459616,D
459617,C
459618,C
459621,C
459625,A
459626,D
459632,D
459644,A
459652,A
459658,C
459664,B
459665,A
459672,A
459673,D
459678,D
459680,D
459686,A
459691,C
459692,C
459693,C
459699,B
459701,B
459710,A
459711,B
459712,D
459713,D
459715,D
459718,A
459725,B
459727,A
459740,D
459742,C
459745,A
459746,B
459747,B
459748,C
459755,B
459756,A
459760,D
459763,D
459767,D
459771,A
459779,A
459780,A
459785,D
459793,A
459795,B
459801,A
459804,B
459806,A
459808,B
459815,A
459816,C
459819,C
459821,D
459822,A
459825,D
459827,C
459832,A
459845,D
459851,A
459853,B
459856,C
459857,D
459861,A
459864,C
459866,C
459867,C
459869,D
459871,A
459885,D
459886,C
459887,C
459889,C
459897,B
459909,D
459910,A
459911,D
459914,B
459923,D
459925,D
459937,A
459943,A
459945,B
459946,C
459949,B
459953,B
459961,B
459962,B
459966,A
459968,A
459970,A
459973,C
459974,A
459975,D
459981,D
459986,A
459995,D
459996,A
459998,B
460004,A
460006,A
460014,D
460023,A
460027,B
460033,A
460036,D
460040,B
460045,B
460046,B
460050,C
460051,B
460052,A
460058,B
460059,D
460061,D
460066,D
460068,A
460073,B
460075,B
460079,A
460081,A
460088,A
460090,C
460093,B
460095,C
460097,B
460099,D
460101,D
460103,D
460105,B
460106,A
460107,C
460108,C
460109,C
460110,B
460112,C
460116,D
460118,C
460119,B
460122,C
460124,C
460126,B
460134,D
460135,D
460140,B
460141,A
460144,B
460146,C
460147,C
460157,D
460160,A
460162,D
460166,D
460167,B
460168,C
460171,B
460174,A
460175,C
460177,A
460179,B
460183,A
460185,D
460187,B
460189,D
460190,D
460192,C
460196,D
460206,B
460211,C
460212,D
460214,C
460222,D
460223,A
460227,C
460242,D
460243,D
460247,D
460248,D
460252,A
460263,A
460265,C
460270,B
460272,A
460275,B
460276,C
460281,D
460283,C
460284,D
460287,B
460289,A
460298,B
460303,D
460305,D
460306,A
460310,C
460315,D
460319,D
460322,A
460323,D
460324,D
460327,A
460333,D
460336,B
460340,A
460341,D
460344,C
460346,C
460348,B
460349,C
460354,A
460356,D
460358,D
460361,C
460362,D
460365,A
460369,C
460370,C
460371,C
460378,A
460379,C
460380,D
460381,A
460384,B
460387,A
460388,D
460389,D
460390,C
460392,A
460394,D
460397,C
460399,D
460401,C
460404,A
460405,D
460406,A
460408,B
460409,C
460415,A
460422,B
460431,B
460434,D
460437,B
460440,B
460443,A
460447,B
460449,A
460450,B
460453,C
460454,B
460457,B
460459,D
460460,A
460467,C
460470,B
460476,A
460477,B
460484,D
460485,D
460489,D
460492,B
460495,D
460504,D
460505,A
460507,B
460508,D
460518,B
460522,B
460541,A
460542,B
460545,D
460546,C
460547,A
460549,A
460550,B
460551,C
460555,C
460556,A
460558,C
460561,D
460563,C
460566,C
460571,A
460572,B
460574,B
460582,A
460583,D
460585,A
460586,A
460588,D
460597,D
460598,C
460605,A
460606,D
460612,C
460615,D
460618,C
460619,C
460621,A
460622,C
460626,D
460627,D
460633,C
460634,D
460637,D
460638,C
460639,D
460640,D
460645,A
460646,C
460653,D
460656,A
460658,B
460659,A
460660,A
460661,D
460668,A
460678,D
460686,D
460687,C
460691,D
460702,C
460703,D
460706,A
460708,C
460716,B
460719,A
460720,C
460722,D
460726,B
460727,C
460729,B
460733,D
460734,B
460738,D
460740,B
460743,C
460746,D
460763,A
460769,D
460780,D
460783,A
460785,B
460789,A
460794,D
460796,C
460802,B
460811,C
460813,A
460815,C
460822,A
460825,C
460828,A
460830,B
460831,D
460837,A
460838,A
460840,C
460844,A
460846,D
460847,A
460851,D
460855,C
460857,A
460859,D
460860,B
460861,D
460866,C
460870,B
460871,D
460872,B
460877,B
460878,C
460882,D
460888,A
460891,C
460897,D
460898,B
460899,B
460901,D
460902,A
460905,B
460906,A
460907,B
460923,C
460924,D
460928,C
460934,D
460935,B
460945,D
460953,A
460961,D
460962,B
460963,C
460968,D
460975,B
460976,D
460977,A
460979,D
460981,D
460984,B
460988,A
460989,D
460991,D
460993,C
460999,D
461000,A
461001,B
461015,C
461016,A
461022,B
461023,B
461024,A
461028,D
461029,A
461034,D
461037,B
461038,A
461041,D
461042,D
461043,C
461044,D
461049,C
461050,C
461053,D
461059,A
461060,C
461065,C
461071,B
461078,B
461082,D
461085,D
461093,C
461099,A
461111,A
461114,C
461116,D
461118,D
461119,D
461121,B
461124,D
461127,D
461128,D
461129,B
461131,C
461145,A
461152,D
461154,C
461158,D
461162,B
461163,D
461168,A
461169,D
461174,B
461177,C
461178,A
461179,B
461181,D
461183,D
461187,C
461197,A
461198,D
461201,A
461205,D
461211,A
461214,C
461215,A
461218,D
461220,D
461221,D
461225,D
461226,D
461230,D
461232,D
461233,B
461236,D
461237,D
461241,D
461242,D
461243,D
461248,C
461251,D
461252,B
461256,A
461257,C
461258,C
461262,C
461263,C
461265,D
461269,D
461274,C
461276,D
461277,C
461281,D
461286,D
461289,D
461292,D
461297,A
461299,A
461303,D
461308,D
461309,D
461313,C
461314,C
461319,A
461320,A
461322,C
461323,D
461324,C
461326,A
461335,D
461340,C
461346,B
461348,D
461350,B
461352,A
461356,A
461357,B
461363,B
461366,D
461370,A
461377,B
461378,C
461379,D
461383,B
461388,D
461397,D
461402,B
461408,D
461421,A
461423,A
461426,C
461428,B
461432,C
461437,C
461439,C
461441,C
461442,C
461454,B
461456,A
461457,A
461458,D
461462,D
461465,C
461466,B
461468,B
461469,A
461476,C
461479,B
461480,C
461482,B
461494,A
461501,C
461503,A
461510,B
461514,B
461516,C
461518,C
461521,B
461522,C
461525,A
461526,B
461530,B
461534,B
461540,D
461546,A
461548,D
461553,C
461556,B
461558,B
461564,B
461570,B
461574,C
461587,D
461593,B
461602,A
461604,C
461612,C
461615,B
461617,B
461619,B
461624,C
461626,C
461630,C
461637,B
461644,B
461653,C
461655,C
461658,C
461659,C
461661,B
461663,D
461668,C
461671,D
461674,C
461676,D
461679,C
461681,C
461683,A
461685,D
461686,B
461690,D
461694,C
461695,C
461698,C
461701,C
461705,C
461708,A
461709,D
461711,A
461716,C
461720,B
461722,B
461724,A
461725,C
461727,C
461737,C
461738,C
461744,B
461747,C
461749,D
461752,C
461756,A
461760,C
461769,B
461771,A
461775,A
461778,A
461780,D
461782,C
461784,B
461788,B
461791,D
461792,D
461800,B
461801,A
461802,D
461804,A
461807,D
461815,B
461816,D
461821,C
461822,C
461824,B
461832,B
461837,A
461845,B
461846,B
461848,D
461858,D
461859,C
461860,A
461862,B
461864,A
461872,B
461873,C
461874,C
461882,C
461892,C
461896,C
461898,C
461899,D
461901,D
461910,B
461913,A
461914,C
461921,B
461927,C
461928,A
461929,D
461930,A
461931,D
461936,B
461937,B
461941,B
461943,D
461962,B
461963,A
461965,D
461967,C
461968,A
461978,D
461985,A
461988,B
461989,B
461993,B
461994,A
461996,C
461999,B
462007,C
462011,D
462013,B
462015,A
462016,C
462017,A
462027,D
462029,A
462033,A
462038,C
462043,B
462044,B
462048,D
462051,D
462052,B
462053,A
462058,D
462060,C
462064,C
462068,C
462075,B
462078,B
462080,A
462081,D
462083,D
462084,A
462085,D
462088,C
462090,B
462091,D
462094,D
462096,A
462102,B
462103,A
462108,B
462109,B
462111,B
462114,D
462116,A
462118,D
462120,B
462128,C
462131,A
462134,D
462141,B
462149,D
462151,C
462163,C
462168,B
462171,D
462172,D
462174,C
462177,A
462179,D
462180,B
462186,D
462187,C
462188,B
462196,D
462197,B
462198,D
462200,B
462202,A
462203,A
462204,D
462205,D
462209,A
462210,A
462211,D
462214,D
462216,B
462218,D
462220,D
462222,D
462229,D
462231,D
462232,A
