ID,Segmentation
458989,A
458994,B
458996,A
459000,B
459001,D
459003,B
459005,B
459008,C
459013,C
459014,D
459015,D
459016,D
459024,C
459026,D
459032,D
459033,B
459036,D
459039,C
459041,B
459045,C
459056,B
459057,B
459058,A
459059,B
459061,B
459064,D
459065,A
459074,D
459077,B
459079,C
459080,A
459083,C
459090,A
459091,C
459093,B
459100,B
459106,B
459114,C
459116,C
459117,B
459118,D
459119,C
459120,D
459121,C
459123,C
459130,B
459132,D
459136,C
459140,D
459143,B
459144,C
459145,A
459150,B
459160,C
459161,C
459162,C
459163,A
459167,B
459170,B
459171,C
459172,D
459175,C
459181,B
459182,C
459184,A
459185,D
459193,A
459194,C
459196,D
459208,C
459209,D
459210,C
459212,C
459213,D
459216,B
459220,C
459221,A
459222,C
459223,C
459224,C
459227,D
459229,C
459236,B
459237,A
459244,B
459247,C
459258,C
459263,D
459264,B
459266,D
459270,C
459284,C
459287,A
459288,A
459289,B
459290,C
459292,B
459293,D
459296,C
459300,B
459307,A
459310,A
459316,D
459318,D
459320,D
459322,D
459323,D
459338,A
459339,D
459344,C
459347,A
459349,C
459352,B
459353,C
459354,C
459355,A
459360,D
459361,D
459362,A
459363,B
459364,D
459369,A
459375,D
459377,C
459383,A
459384,C
459385,C
459386,B
459391,A
459394,D
459397,C
459398,B
459401,D
459403,C
459405,B
459407,B
459409,C
459410,C
459412,C
459413,C
459415,D
459418,B
459419,C
459420,A
459421,D
459422,A
459423,D
459424,B
459428,D
459432,A
459436,B
459439,C
459445,C
459447,B
459449,A
459451,B
459456,A
459458,D
459459,A
459461,B
459464,A
459466,C
459467,C
459469,D
459471,A
459480,A
459481,A
459482,D
459485,C
459496,B
459497,A
459499,B
459503,B
459505,A
459507,B
459509,D
459512,C
459515,A
459516,C
459518,B
459535,C
459536,D
459538,A
459541,B
459549,D
459555,A
459558,D
459564,A
459566,B
459567,C
459571,C
459576,A
459579,C
459581,A
459582,D
459583,B
459585,C
459587,A
459588,B
459591,C
459592,D
459594,B
459597,C
459603,B
459607,B
459608,B
459612,D
459616,D
459617,D
459618,B
459621,D
459625,A
459626,D
459632,A
459644,D
459652,D
459658,C
459664,A
459665,B
459672,C
459673,A
459678,D
459680,A
459686,B
459691,C
459692,C
459693,C
459699,B
459701,B
459710,B
459711,B
459712,D
459713,D
459715,D
459718,A
459725,B
459727,B
459740,D
459742,B
459745,B
459746,C
459747,C
459748,B
459755,C
459756,A
459760,B
459763,D
459767,D
459771,D
459779,A
459780,A
459785,D
459793,C
459795,B
459801,D
459804,B
459806,B
459808,B
459815,A
459816,B
459819,C
459821,B
459822,A
459825,D
459827,D
459832,A
459845,D
459851,B
459853,D
459856,B
459857,D
459861,B
459864,C
459866,B
459867,C
459869,D
459871,B
459885,A
459886,A
459887,C
459889,C
459897,B
459909,B
459910,B
459911,D
459914,A
459923,D
459925,A
459937,B
459943,A
459945,B
459946,C
459949,B
459953,B
459961,B
459962,B
459966,D
459968,A
459970,B
459973,B
459974,A
459975,B
459981,A
459986,B
459995,B
459996,A
459998,B
460004,B
460006,D
460014,A
460023,A
460027,A
460033,A
460036,A
460040,A
460045,B
460046,B
460050,A
460051,A
460052,A
460058,B
460059,A
460061,D
460066,D
460068,B
460073,A
460075,A
460079,A
460081,C
460088,D
460090,B
460093,B
460095,A
460097,A
460099,A
460101,D
460103,A
460105,B
460106,A
460107,C
460108,C
