ID,Segmentation
458989,0.0
458994,2.0
458996,0.0
459000,2.0
459001,3.0
459003,1.0
459005,0.0
459008,2.0
459013,2.0
459014,3.0
459015,3.0
459016,3.0
459024,2.0
459026,3.0
459032,3.0
459033,1.0
459036,1.0
459039,2.0
459041,1.0
459045,1.0
459056,2.0
459057,1.0
459058,0.0
459059,1.0
459061,2.0
459064,3.0
459065,1.0
459074,2.0
459077,0.0
459079,0.0
459080,0.0
459083,2.0
459090,0.0
459091,2.0
459093,1.0
459100,1.0
459106,1.0
459114,2.0
459116,2.0
459117,2.0
459118,3.0
459119,2.0
459120,3.0
459121,2.0
459123,2.0
459130,1.0
459132,3.0
459136,2.0
459140,3.0
459143,1.0
459144,2.0
459145,2.0
459150,0.0
459160,2.0
459161,2.0
459162,2.0
459163,0.0
459167,1.0
459170,0.0
459171,2.0
459172,3.0
459175,2.0
459181,1.0
459182,2.0
459184,0.0
459185,0.0
459193,0.0
459194,2.0
459196,3.0
459208,2.0
459209,3.0
459210,2.0
459212,2.0
459213,3.0
459216,2.0
459220,2.0
459221,0.0
459222,2.0
459223,2.0
459224,2.0
459227,1.0
459229,1.0
459236,1.0
459237,0.0
459244,1.0
459247,2.0
459258,0.0
459263,3.0
459264,1.0
459266,3.0
459270,1.0
459284,2.0
459287,1.0
459288,2.0
459289,0.0
459290,2.0
459292,1.0
459293,3.0
459296,2.0
459300,2.0
459307,0.0
459310,0.0
459316,3.0
459318,3.0
459320,3.0
459322,3.0
459323,3.0
459338,3.0
459339,2.0
459344,2.0
459347,1.0
459349,2.0
459352,1.0
459353,2.0
459354,2.0
459355,0.0
459360,3.0
459361,2.0
459362,1.0
459363,1.0
459364,3.0
459369,0.0
459375,0.0
459377,2.0
459383,0.0
459384,2.0
459385,2.0
459386,0.0
459391,0.0
459394,2.0
459397,2.0
459398,2.0
459401,3.0
459403,2.0
459405,0.0
459407,0.0
459409,1.0
459410,2.0
459412,2.0
459413,2.0
459415,3.0
459418,1.0
459419,2.0
459420,1.0
459421,2.0
459422,2.0
459423,3.0
459424,0.0
459428,3.0
459432,1.0
459436,1.0
459439,2.0
459445,2.0
459447,1.0
459449,2.0
459451,2.0
459456,3.0
459458,3.0
459459,0.0
459461,1.0
459464,0.0
459466,2.0
459467,2.0
459469,3.0
459471,2.0
459480,0.0
459481,2.0
459482,3.0
459485,2.0
459496,0.0
459497,0.0
459499,0.0
459503,2.0
459505,0.0
459507,2.0
459509,3.0
459512,1.0
459515,0.0
459516,2.0
459518,1.0
459535,2.0
459536,3.0
459538,1.0
459541,2.0
459549,3.0
459555,0.0
459558,3.0
459564,2.0
459566,1.0
459567,2.0
459571,2.0
459576,2.0
459579,1.0
459581,1.0
459582,2.0
459583,1.0
459585,2.0
459587,0.0
459588,1.0
459591,2.0
459592,3.0
459594,1.0
459597,2.0
459603,1.0
459607,1.0
459608,1.0
459612,3.0
459616,3.0
459617,3.0
459618,2.0
459621,3.0
459625,0.0
459626,2.0
459632,2.0
459644,2.0
459652,0.0
459658,2.0
459664,0.0
459665,0.0
459672,1.0
459673,0.0
459678,3.0
459680,0.0
459686,1.0
459691,2.0
459692,2.0
459693,2.0
