ID,Segmentation
458989,A
458994,C
458996,A
459000,A
459001,D
459003,B
459005,A
459008,C
459013,C
459014,D
459015,D
459016,D
459024,C
459026,D
459032,D
459033,B
459036,D
459039,C
459041,A
459045,C
459056,B
459057,A
459058,B
459059,B
459061,C
459064,D
459065,A
459074,D
459077,A
459079,C
459080,A
459083,C
459090,A
459091,C
459093,C
459100,A
459106,B
459114,C
459116,C
459117,C
459118,D
459119,C
459120,D
459121,C
459123,C
459130,A
459132,D
459136,C
459140,D
459143,C
459144,B
459145,A
459150,A
459160,C
459161,C
459162,C
459163,A
459167,B
459170,A
459171,C
459172,D
459175,C
459181,C
459182,C
459184,A
459185,A
459193,A
459194,C
459196,D
459208,C
459209,D
459210,C
459212,C
459213,D
459216,C
459220,C
459221,A
459222,C
459223,C
459224,C
459227,D
459229,C
459236,A
459237,C
459244,B
459247,C
459258,C
459263,D
459264,C
459266,D
459270,B
459284,C
459287,D
459288,B
459289,A
459290,C
459292,C
459293,D
459296,C
459300,C
459307,A
459310,A
459316,D
459318,A
459320,D
459322,D
459323,D
459338,B
459339,D
459344,C
459347,A
459349,C
459352,C
459353,C
459354,C
459355,A
459360,D
459361,A
459362,A
459363,A
459364,C
459369,B
459375,D
459377,C
459383,A
459384,C
459385,C
459386,A
459391,A
459394,D
459397,C
459398,A
459401,D
459403,C
459405,B
459407,A
459409,C
459410,C
459412,C
459413,C
459415,D
459418,B
459419,C
459420,A
459421,C
459422,A
459423,D
459424,A
459428,D
459432,A
459436,C
459439,C
459445,C
459447,A
459449,B
459451,B
459456,D
459458,D
459459,A
459461,A
459464,A
459466,C
459467,C
459469,D
459471,C
459480,A
459481,D
459482,D
459485,C
459496,C
459497,A
459499,A
459503,C
459505,A
459507,A
459509,D
459512,A
459515,A
459516,C
459518,C
459535,C
459536,D
459538,A
459541,C
459549,D
459555,A
459558,A
459564,A
459566,A
459567,C
459571,C
459576,A
459579,C
459581,D
459582,A
459583,B
459585,C
459587,C
459588,B
459591,C
459592,D
459594,A
459597,C
459603,A
459607,C
459608,A
459612,D
459616,D
459617,D
459618,B
459621,D
459625,A
459626,A
459632,D
459644,D
459652,D
459658,C
459664,A
459665,C
459672,C
459673,A
459678,D
459680,A
459686,B
459691,C
459692,C
459693,C
459699,B
459701,A
459710,B
459711,D
459712,D
459713,D
459715,D
459718,B
459725,B
459727,A
459740,D
459742,B
459745,A
459746,C
459747,C
459748,A
459755,C
459756,A
459760,A
459763,A
459767,D
459771,A
459779,A
459780,A
459785,A
459793,C
459795,A
459801,A
459804,C
459806,B
459808,C
459815,A
459816,A
459819,B
459821,A
459822,A
459825,D
459827,D
459832,B
459845,D
459851,A
459853,D
459856,B
459857,A
459861,A
459864,C
459866,B
459867,C
459869,D
459871,C
459885,A
459886,A
459887,C
459889,B
459897,C
459909,B
459910,B
459911,D
459914,A
459923,D
459925,A
459937,A
459943,A
459945,B
459946,C
459949,C
459953,A
459961,B
459962,A
459966,A
459968,A
459970,B
459973,C
459974,A
459975,A
459981,A
459986,B
459995,A
459996,A
459998,B
460004,B
460006,D
460014,A
460023,A
460027,A
460033,A
460036,D
460040,B
460045,B
460046,B
460050,A
460051,A
460052,A
460058,A
460059,A
460061,D
460066,D
460068,A
460073,A
460075,A
460079,A
460081,C
460088,B
460090,C
460093,A
460095,A
460097,A
460099,D
460101,D
460103,A
460105,A
460106,B
460107,C
460108,C
460109,C
460110,C
460112,A
460116,D
460118,B
460119,D
460122,A
460124,C
460126,D
460134,A
460135,D
460140,B
460141,A
460144,B
460146,B
460147,C
460157,D
460160,A
460162,D
460166,D
460167,D
460168,B
460171,C
460174,C
460175,B
460177,A
460179,D
460183,D
460185,D
460187,A
460189,D
460190,A
460192,D
460196,D
460206,A
460211,A
460212,D
460214,B
460222,B
460223,A
460227,D
460242,D
460243,A
460247,D
460248,D
460252,B
460263,B
460265,C
460270,D
460272,A
460275,A
460276,B
460281,D
460283,A
460284,A
460287,B
460289,C
460298,D
460303,A
460305,B
460306,D
460310,D
460315,D
460319,B
460322,A
460323,A
460324,A
460327,A
460333,D
460336,B
460340,A
460341,D
460344,C
460346,C
460348,C
460349,C
460354,A
460356,D
460358,D
460361,A
460362,D
460365,A
460369,B
460370,A
460371,A
460378,A
460379,A
460380,D
460381,A
460384,D
460387,A
460388,A
460389,C
460390,A
460392,A
460394,D
460397,A
460399,D
460401,B
460404,C
460405,A
460406,D
460408,B
460409,C
460415,A
460422,B
460431,A
460434,C
460437,A
460440,A
460443,A
460447,A
460449,D
460450,B
460453,A
460454,A
460457,A
460459,D
460460,D
460467,C
460470,D
460476,C
460477,D
460484,D
460485,D
460489,D
460492,D
460495,D
460504,B
460505,A
460507,D
460508,D
460518,B
460522,A
460541,B
460542,A
460545,A
460546,A
460547,B
460549,A
460550,C
460551,B
460555,B
460556,A
460558,A
460561,A
460563,D
460566,B
460571,D
460572,A
460574,A
460582,A
460583,D
460585,A
460586,D
460588,D
460597,D
460598,C
460605,A
460606,D
460612,D
460615,D
460618,D
460619,A
460621,A
460622,B
460626,A
460627,D
460633,A
460634,A
460637,D
460638,B
460639,C
460640,A
460645,A
460646,A
460653,D
460656,A
460658,C
460659,C
460660,A
460661,D
460668,A
460678,D
460686,D
460687,B
460691,D
460702,B
460703,B
460706,D
460708,B
460716,C
460719,B
460720,C
460722,A
460726,C
460727,B
460729,A
460733,D
460734,B
460738,A
460740,C
460743,C
460746,D
460763,C
460769,B
460780,D
460783,A
460785,D
460789,A
460794,A
460796,D
460802,B
460811,A
460813,B
460815,B
460822,B
460825,D
460828,A
460830,B
460831,D
460837,A
460838,C
460840,A
460844,D
460846,D
460847,A
460851,C
460855,B
460857,D
460859,A
460860,C
460861,D
460866,D
460870,D
460871,D
460872,A
460877,C
460878,C
460882,D
460888,D
460891,C
460897,D
460898,C
460899,A
460901,D
460902,D
460905,A
460906,C
460907,A
460923,C
460924,D
460928,C
460934,D
460935,A
460945,D
460953,A
460961,D
460962,C
460963,C
460968,A
460975,B
460976,D
460977,B
460979,A
460981,C
460984,C
460988,A
460989,D
460991,D
460993,C
460999,A
461000,A
461001,C
461015,A
461016,D
461022,B
461023,A
461024,A
461028,D
461029,A
461034,D
461037,C
461038,B
461041,C
461042,D
461043,D
461044,D
461049,C
461050,C
461053,A
461059,A
461060,C
461065,B
461071,B
461078,D
461082,D
461085,A
461093,C
461099,A
461111,A
461114,C
461116,D
461118,D
461119,D
461121,D
461124,D
461127,D
461128,D
461129,C
461131,C
461145,A
461152,D
461154,D
461158,A
461162,D
461163,A
461168,A
461169,A
461174,D
461177,C
461178,A
461179,A
461181,D
461183,D
461187,D
461197,D
461198,A
461201,C
461205,D
461211,A
461214,D
461215,A
461218,D
461220,D
461221,D
461225,D
461226,D
461230,D
461232,B
461233,A
461236,D
461237,B
461241,D
461242,D
461243,D
461248,D
461251,D
461252,A
461256,D
461257,A
461258,C
461262,D
461263,A
461265,D
461269,D
461274,C
461276,A
461277,A
461281,D
461286,D
461289,D
461292,B
461297,A
461299,C
461303,D
461308,D
461309,D
461313,C
461314,C
461319,C
461320,C
461322,C
461323,C
461324,B
461326,B
461335,A
461340,C
461346,A
461348,D
461350,D
461352,D
461356,A
461357,D
461363,A
461366,D
461370,D
461377,B
461378,A
461379,D
461383,C
461388,D
461397,D
461402,A
461408,D
461421,C
461423,A
461426,C
461428,A
461432,C
461437,B
461439,C
461441,C
461442,C
461454,C
461456,D
461457,D
461458,A
461462,D
461465,C
461466,A
461468,C
461469,B
461476,C
461479,C
461480,C
461482,A
461494,A
461501,B
461503,A
461510,B
461514,D
461516,C
461518,C
461521,C
461522,B
461525,A
461526,A
461530,A
461534,A
461540,D
461546,D
461548,A
461553,B
461556,B
461558,B
461564,C
461570,C
461574,C
461587,D
461593,C
461602,C
461604,A
461612,D
461615,A
461617,C
461619,C
461624,C
461626,C
461630,C
461637,B
461644,D
461653,C
461655,B
461658,C
461659,C
461661,C
461663,D
461668,C
461671,D
461674,C
461676,A
461679,D
461681,D
461683,C
461685,D
461686,B
461690,A
461694,D
461695,C
461698,C
461701,B
461705,D
461708,A
461709,A
461711,B
461716,C
461720,A
461722,D
461724,B
461725,A
461727,C
461737,C
461738,C
461744,C
461747,C
461749,D
461752,C
461756,B
461760,C
461769,A
461771,C
461775,B
461778,C
461780,C
461782,C
461784,A
461788,C
461791,D
461792,D
461800,A
461801,D
461802,C
461804,B
461807,D
461815,B
461816,C
461821,D
461822,C
461824,D
461832,D
461837,B
461845,C
461846,B
461848,D
461858,D
461859,C
461860,C
461862,A
461864,D
461872,C
461873,D
461874,C
461882,D
461892,D
461896,B
461898,C
461899,D
461901,A
461910,C
461913,A
461914,C
461921,A
461927,D
461928,A
461929,A
461930,A
461931,D
461936,A
461937,A
461941,B
461943,D
461962,C
461963,A
461965,D
461967,D
461968,A
461978,D
461985,A
461988,A
461989,B
461993,D
461994,D
461996,A
461999,D
462007,C
462011,D
462013,C
462015,A
462016,C
462017,A
462027,A
462029,A
462033,A
462038,C
462043,D
462044,C
462048,D
462051,D
462052,B
462053,A
462058,A
462060,C
462064,C
462068,C
462075,A
462078,C
462080,A
462081,D
462083,D
462084,B
462085,D
462088,C
462090,A
462091,D
462094,D
462096,A
462102,A
462103,A
462108,B
462109,A
462111,C
462114,D
462116,C
462118,C
462120,A
462128,C
462131,B
462134,A
462141,A
462149,A
462151,A
462163,C
462168,C
462171,A
462172,C
462174,A
462177,B
462179,C
462180,B
462186,D
462187,B
462188,B
462196,D
462197,B
462198,A
462200,A
462202,A
462203,B
462204,D
462205,D
462209,A
462210,A
462211,D
462214,A
462216,A
462218,B
462220,D
462222,D
462229,D
462231,A
462232,B
462234,D
462238,A
462240,A
462243,D
462246,A
462249,D
462256,C
462257,C
462260,A
462262,D
462274,C
462275,C
462278,D
462279,D
462280,D
462281,B
462284,C
462285,A
462286,C
462290,A
462291,D
462297,A
462300,C
462304,B
462306,A
462309,D
462310,C
462323,C
462336,B
462339,C
462340,C
462342,A
462345,C
462346,A
462349,C
462355,A
462356,A
462358,B
462365,C
462368,C
462370,C
462381,B
462382,B
462384,D
462386,D
462389,A
462395,C
462396,C
462397,C
462400,A
462401,A
462409,A
462411,A
462415,D
462420,D
462421,C
462423,A
462424,B
462428,C
462429,A
462445,D
462446,D
462447,D
462450,D
462451,D
462452,D
462454,D
462456,D
462457,D
462463,C
462472,A
462473,A
462485,A
462488,D
462491,C
462492,C
462496,C
462498,C
462503,C
462508,D
462512,A
462517,B
462518,D
462519,D
462521,D
462522,B
462524,A
462525,C
462526,C
462529,A
462531,B
462533,A
462538,C
462541,B
462542,C
462543,A
462545,D
462554,D
462561,C
462563,C
462566,D
462577,A
462578,B
462580,A
462584,A
462587,A
462589,D
462595,B
462596,D
462600,A
462607,A
462609,A
462611,D
462612,A
462613,A
462615,D
462617,D
462619,D
462625,A
462626,A
462632,A
462637,C
462643,B
462654,C
462658,B
462668,A
462669,C
462678,C
462680,C
462683,A
462685,D
462687,D
462692,C
462696,B
462697,D
462702,A
462704,C
462705,C
462716,D
462720,D
462722,D
462723,C
462727,B
462729,D
462731,C
462732,B
462735,C
462736,A
462738,D
462739,B
462743,D
462746,D
462747,D
462752,D
462755,D
462756,D
462761,D
462762,C
462767,D
462768,C
462776,B
462785,B
462788,A
462792,B
462799,D
462804,A
462807,D
462810,D
462814,A
462817,A
462819,C
462823,B
462824,A
462826,D
462827,D
462834,D
462838,B
462841,D
462845,C
462849,C
462850,D
462853,D
462854,D
462858,A
462861,D
462866,A
462868,A
462869,D
462871,A
462872,A
462874,B
462887,A
462890,D
462891,D
462894,C
462900,C
462903,C
462905,A
462914,C
462920,C
462923,D
462925,B
462927,D
462936,A
462941,D
462944,C
462951,A
462956,C
462958,D
462963,C
462966,C
462968,A
462971,A
462976,B
462981,D
462982,C
462983,C
462984,C
462986,D
462992,B
462993,C
462994,C
462998,A
463003,C
463012,A
463020,C
463023,D
463024,A
463028,D
463030,C
463034,D
463037,C
463039,D
463040,A
463044,B
463047,D
463051,D
463052,D
463058,D
463062,C
463069,A
463075,C
463080,A
463083,A
463085,B
463086,A
463088,C
463089,C
463090,B
463091,A
463094,A
463096,A
463099,A
463100,D
463102,D
463104,D
463106,A
463108,A
463118,C
463120,A
463129,A
463133,C
463138,D
463144,C
463145,D
463146,A
463148,C
463149,C
463150,D
463151,B
463154,A
463156,B
463157,A
463158,C
463163,D
463164,C
463165,C
463166,A
463170,D
463171,A
463173,A
463174,A
463175,A
463181,B
463187,B
463192,A
463195,D
463196,A
463199,B
463201,D
463203,D
463204,A
463209,C
463218,A
463219,A
463220,B
463221,D
463224,C
463240,B
463242,D
463244,A
463245,A
463248,B
463251,D
463256,D
463258,C
463260,A
463265,C
463266,C
463267,D
463269,A
463270,D
463273,A
463276,A
463277,A
463278,A
463280,C
463292,A
463302,B
463308,A
463316,B
463323,D
463324,D
463330,D
463332,A
463334,D
463335,A
463338,A
463340,D
463341,B
463348,A
463351,D
463356,D
463360,B
463367,A
463368,C
463372,D
463375,A
463376,C
463378,A
463379,D
463386,A
463387,D
463391,A
463395,D
463404,A
463406,D
463409,B
463411,B
463420,C
463423,C
463427,A
463428,D
463431,B
463437,C
463438,A
463443,C
463444,A
463447,B
463452,C
463460,C
463461,D
463462,B
463470,D
463472,D
463473,D
463475,A
463477,D
463483,D
463491,C
463493,C
463499,A
463500,C
463503,A
463508,A
463509,A
463512,D
463516,C
463527,A
463528,B
463529,D
463533,C
463537,D
463545,A
463548,D
463550,B
463553,A
463554,A
463557,D
463560,D
463561,A
463566,B
463572,C
463577,C
463586,D
463588,D
463598,A
463601,D
463603,D
463605,D
463606,D
463614,D
463615,C
463616,B
463619,B
463620,D
463623,D
463624,C
463628,A
463632,C
463638,B
463639,D
463640,D
463644,D
463652,A
463654,A
463655,A
463661,C
463663,D
463664,A
463665,C
463669,C
463670,D
463689,B
463699,D
463703,C
463704,C
463707,A
463713,D
463714,A
463716,D
463718,C
463722,C
463724,D
463726,D
463727,D
463728,C
463732,D
463734,C
463741,C
463745,C
463747,C
463748,D
463753,D
463756,C
463761,C
463764,C
463766,C
463767,C
463768,A
463774,C
463776,C
463782,A
463783,D
463784,D
463785,D
463786,C
463790,D
463792,A
463794,D
463799,B
463800,A
463804,A
463807,D
463811,B
463814,D
463816,C
463818,A
463819,A
463821,A
463825,C
463827,C
463828,A
463830,A
463834,C
463835,D
463842,B
463847,C
463856,B
463857,C
463859,C
463865,C
463877,A
463880,A
463884,A
463891,A
463892,A
463904,B
463917,D
463923,D
463924,B
463926,D
463931,C
463932,C
463941,A
463943,A
463946,D
463948,C
463951,B
463955,A
463958,D
463961,D
463963,A
463966,A
463978,C
463980,C
463981,A
463983,A
463986,C
463997,B
464000,D
464004,D
464007,B
464009,C
464010,D
464013,D
464016,A
464019,D
464021,D
464023,D
464030,D
464031,D
464032,D
464033,D
464039,A
464042,A
464046,D
464048,A
464049,D
464053,A
464054,C
464059,B
464063,A
464066,D
464067,A
464068,C
464071,C
464072,A
464076,A
464084,D
464087,D
464089,C
464096,D
464099,B
464103,C
464110,B
464112,D
464115,A
464118,A
464121,A
464123,B
464127,D
464132,D
464137,C
464139,D
464144,C
464152,C
464162,C
464167,C
464169,A
464172,C
464173,C
464175,D
464176,B
464179,C
464180,A
464182,C
464183,A
464185,C
464195,A
464200,D
464202,A
464204,B
464205,B
464206,A
464211,B
464212,C
464216,C
464217,D
464223,C
464226,C
464231,C
464232,D
464246,C
464254,C
464255,C
464257,A
464265,A
464269,A
464270,B
464271,C
464274,C
464276,C
464283,A
464286,C
464287,C
464289,D
464292,C
464297,A
464298,D
464308,C
464318,B
464320,A
464326,C
464332,B
464339,A
464344,B
464351,D
464364,C
464368,A
464370,C
464373,C
464378,C
464381,C
464382,C
464386,C
464387,C
464389,B
464392,C
464396,C
464412,D
464424,D
464425,A
464432,D
464433,B
464436,A
464437,C
464441,B
464451,C
464456,C
464468,B
464473,C
464474,B
464478,A
464481,C
464482,B
464483,C
464485,A
464487,A
464488,C
464494,C
464499,C
464501,D
464504,D
464506,D
464517,D
464522,A
464526,C
464528,B
464533,C
464536,C
464540,B
464544,C
464549,B
464550,C
464552,B
464553,C
464555,D
464560,A
464561,A
464566,C
464569,D
464570,C
464572,A
464576,D
464577,D
464580,A
464581,D
464586,B
464593,B
464594,B
464597,A
464601,D
464603,B
464606,C
464607,C
464608,C
464618,A
464620,C
464621,B
464637,D
464641,C
464652,A
464654,A
464664,A
464666,A
464670,A
464673,C
464674,B
464675,C
464677,D
464683,B
464684,D
464685,D
464688,D
464690,A
464691,A
464692,D
464693,A
464695,D
464696,A
464697,C
464699,D
464701,D
464704,C
464707,D
464711,C
464712,A
464722,A
464726,D
464728,A
464732,B
464737,B
464739,A
464746,D
464752,D
464755,C
464756,D
464758,A
464760,A
464765,B
464766,A
464769,A
464772,A
464774,A
464780,D
464790,A
464792,D
464794,A
464799,D
464802,A
464804,A
464806,D
464809,B
464812,B
464813,C
464817,A
464818,A
464825,D
464827,A
464828,D
464831,D
464832,D
464835,D
464836,D
464845,A
464849,B
464851,D
464852,D
464854,A
464857,D
464861,D
464864,D
464865,D
464868,A
464872,A
464873,B
464876,B
464879,B
464884,A
464885,A
464886,B
464902,A
464905,B
464907,B
464910,C
464911,B
464915,B
464916,A
464919,A
464920,A
464921,B
464925,A
464927,B
464932,A
464938,A
464939,A
464940,A
464944,A
464947,D
464957,A
464960,D
464961,A
464963,A
464972,D
464973,A
464981,C
464987,C
464990,B
464991,C
464995,A
465001,C
465005,C
465012,C
465014,A
465022,C
465023,C
465026,D
465032,C
465035,C
465038,C
465039,B
465040,A
465045,A
465056,C
465069,C
465075,C
465076,C
465079,A
465082,A
465087,D
465091,C
465092,C
465093,A
465095,C
465099,A
465100,C
465101,A
465105,C
465109,D
465111,C
465112,B
465113,A
465119,C
465120,D
465121,A
465122,C
465124,C
465128,C
465134,C
465136,C
465144,D
465147,D
465148,A
465150,A
465153,C
465155,A
465160,C
465164,D
465171,C
465172,C
465175,D
465176,C
465181,D
465182,A
465186,C
465187,B
465188,C
465189,C
465194,D
465196,A
465197,C
465201,B
465202,D
465203,D
465204,D
465213,B
465214,D
465216,C
465226,A
465228,C
465231,C
465236,B
465237,B
465242,D
465249,D
465254,D
465261,D
465264,A
465267,A
465274,A
465285,D
465288,A
465289,B
465290,C
465294,D
465295,B
465296,C
465303,C
465306,C
465310,D
465319,D
465326,B
465333,B
465335,A
465340,B
465342,C
465344,C
465345,C
465351,C
465352,C
465354,D
465357,C
465358,C
465359,A
465364,B
465366,A
465371,B
465372,A
465383,A
465384,C
465391,B
465393,C
465395,A
465399,A
465405,B
465408,D
465410,D
465417,A
465419,A
465423,C
465428,A
465433,B
465435,A
465437,C
465440,A
465441,A
465445,D
465458,C
465461,C
465463,D
465464,B
465467,D
465471,A
465472,B
465473,C
465477,D
465479,A
465482,D
465483,C
465484,C
465488,D
465489,B
465492,A
465496,A
465505,C
465507,A
465508,D
465510,A
465518,B
465520,C
465521,C
465522,D
465529,D
465538,A
465539,C
465541,C
465543,C
465547,A
465550,D
465551,C
465554,A
465555,A
465558,D
465568,C
465569,C
465571,B
465577,D
465584,A
465586,A
465587,A
465594,D
465598,D
465600,A
465601,C
465602,A
465603,A
465605,A
465611,A
465612,C
465616,A
465621,D
465625,A
465627,D
465629,C
465635,D
465638,B
465640,C
465644,D
465645,A
465649,D
465651,D
465653,B
465655,B
465656,D
465658,C
465663,C
465667,D
465668,D
465669,A
465670,A
465675,A
465680,D
465685,D
465688,C
465689,D
465695,D
465697,A
465703,D
465704,A
465705,C
465706,C
465721,A
465722,D
465725,D
465727,D
465728,D
465733,A
465734,A
465736,A
465737,A
465740,B
465742,C
465751,B
465753,B
465766,A
465768,A
465769,D
465772,A
465775,A
465776,A
465777,C
465784,D
465788,D
465793,D
465797,C
465804,A
465809,D
465811,D
465813,D
465818,D
465823,A
465826,D
465828,D
465829,B
465830,C
465831,D
465837,D
465841,A
465848,D
465849,D
465851,A
465853,C
465857,A
465860,D
465863,D
465865,D
465866,B
465867,C
465873,A
465875,A
465884,C
465893,B
465894,C
465907,D
465916,A
465923,D
465925,D
465927,D
465930,A
465931,A
465935,A
465937,D
465941,D
465948,C
465953,C
465957,D
465960,D
465961,A
465963,B
465965,D
465972,D
465974,B
465975,A
465976,A
465979,B
465982,C
465983,D
465996,D
465997,D
466001,A
466007,A
466017,A
466019,B
466020,A
466022,B
466023,B
466024,A
466032,D
466042,A
466043,C
466046,A
466058,A
466069,C
466071,B
466078,A
466079,A
466082,A
466083,D
466084,A
466085,D
466088,D
466090,A
466092,C
466099,A
466103,A
466109,C
466111,A
466114,C
466115,D
466118,A
466124,B
466128,A
466130,C
466132,D
466136,A
466138,A
466140,A
466141,B
466142,B
466143,C
466146,A
466148,A
466149,D
466153,B
466154,C
466156,C
466157,A
466161,C
466162,A
466166,A
466172,C
466178,C
466180,D
466185,C
466200,B
466201,B
466206,C
466207,C
466208,B
466210,C
466211,C
466213,D
466218,D
466223,A
466225,D
466226,C
466233,A
466235,C
466236,A
466238,D
466246,D
466247,B
466253,D
466257,D
466264,D
466268,C
466271,D
466274,B
466276,D
466278,D
466282,D
466285,D
466286,C
466287,B
466289,D
466290,D
466292,A
466297,D
466300,B
466301,C
466306,D
466313,B
466315,A
466317,A
466318,D
466319,D
466320,A
466321,A
466324,A
466326,D
466335,D
466337,A
466341,C
466347,A
466352,B
466355,D
466367,A
466370,B
466372,C
466373,B
466376,B
466377,C
466380,A
466381,C
466382,A
466387,A
466389,B
466391,B
466392,B
466393,A
466395,A
466397,D
466400,C
466401,C
466402,C
466404,A
466406,A
466408,A
466411,C
466414,C
466418,A
466419,C
466422,D
466427,D
466429,D
466443,C
466450,D
466455,A
466456,A
466457,D
466463,D
466464,B
466466,D
466467,C
466468,D
466474,A
466478,C
466483,D
466486,A
466488,C
466490,B
466493,A
466500,B
466501,B
466502,D
466516,D
466517,A
466526,D
466527,D
466530,D
466533,A
466535,A
466536,D
466538,C
466541,A
466543,D
466545,D
466550,D
466552,D
466553,D
466556,D
466562,D
466564,D
466565,C
466576,D
466586,D
466588,D
466596,C
466603,B
466606,A
466613,D
466623,B
466628,D
466631,C
466634,D
466635,C
466644,B
466650,D
466652,C
466655,A
466656,C
466658,D
466662,A
466665,C
466666,D
466671,D
466686,D
466687,D
466688,D
466689,A
466696,C
466704,C
466705,D
466707,B
466713,C
466718,B
466720,A
466721,C
466725,A
466731,A
466732,A
466733,D
466735,D
466746,C
466749,D
466750,D
466751,D
466752,D
466753,C
466754,C
466759,D
466760,C
466765,A
466769,A
466775,A
466776,A
466777,B
466778,A
466788,D
466790,B
466791,A
466792,A
466795,C
466799,D
466802,A
