ID,Segmentation
458989,B
458994,C
458996,A
459000,C
459001,D
459003,B
459005,A
459008,C
459013,C
459014,D
459015,D
459016,D
459024,C
459026,D
459032,D
459033,C
459036,A
459039,B
459041,B
459045,B
459056,C
459057,D
459058,A
459059,B
459061,A
459064,D
459065,B
459074,C
459077,A
459079,A
459080,B
459083,C
459090,A
459091,B
459093,C
459100,B
459106,B
459114,C
459116,B
459117,B
459118,D
459119,C
459120,D
459121,C
459123,C
459130,A
459132,D
459136,C
459140,D
459143,B
459144,B
459145,A
459150,A
459160,B
459161,C
459162,C
459163,A
459167,C
459170,C
459171,C
459172,D
459175,C
459181,B
459182,C
459184,A
459185,D
459193,B
459194,C
459196,D
459208,C
459209,D
459210,C
459212,C
459213,A
459216,B
459220,A
459221,D
459222,C
459223,C
459224,C
459227,A
459229,B
459236,A
459237,A
459244,A
459247,C
459258,B
459263,D
459264,B
459266,D
459270,A
459284,C
459287,D
459288,C
459289,A
459290,A
459292,B
459293,D
459296,C
459300,C
459307,D
459310,A
459316,A
459318,A
459320,D
459322,A
459323,D
459338,D
459339,A
459344,C
459347,D
459349,C
459352,B
459353,C
459354,C
459355,A
459360,D
459361,A
459362,A
459363,B
459364,B
459369,A
459375,A
459377,C
459383,D
459384,C
459385,C
459386,A
459391,C
459394,A
459397,C
459398,C
459401,B
459403,C
459405,A
459407,D
459409,B
459410,B
459412,B
459413,C
459415,D
459418,C
459419,B
459420,B
459421,D
459422,C
459423,D
459424,B
459428,D
459432,A
459436,B
459439,C
459445,C
459447,B
459449,C
459451,C
459456,D
459458,D
459459,A
459461,C
459464,A
459466,B
459467,C
459469,D
459471,C
459480,A
459481,A
459482,D
459485,B
459496,A
459497,B
459499,A
459503,C
459505,A
459507,A
459509,D
459512,B
459515,D
459516,C
459518,B
459535,C
459536,D
459538,B
459541,C
459549,D
459555,B
459558,D
459564,D
459566,C
459567,C
459571,C
459576,B
459579,B
459581,A
459582,A
459583,C
459585,C
459587,A
459588,C
459591,C
459592,D
459594,B
459597,C
459603,A
459607,B
459608,A
459612,D
459616,D
459617,C
459618,C
459621,D
459625,B
459626,D
459632,D
459644,A
459652,A
459658,C
459664,B
459665,B
459672,C
459673,B
459678,D
459680,A
459686,A
459691,C
459692,C
459693,C
459699,B
459701,B
459710,A
459711,B
459712,D
459713,D
459715,D
459718,D
459725,B
459727,A
459740,D
459742,C
459745,A
459746,B
459747,C
459748,A
459755,B
459756,B
459760,D
459763,D
459767,D
459771,A
459779,A
459780,A
459785,A
459793,A
459795,B
459801,D
459804,C
459806,A
459808,B
459815,A
459816,C
459819,C
459821,A
459822,A
459825,D
459827,C
459832,D
459845,D
459851,A
459853,A
459856,C
459857,A
459861,A
459864,C
459866,C
459867,B
459869,D
459871,A
459885,D
459886,A
459887,C
459889,B
459897,B
459909,D
459910,B
459911,D
459914,B
459923,D
459925,D
459937,B
459943,B
459945,B
459946,C
459949,A
459953,B
459961,A
459962,B
459966,D
459968,A
459970,A
459973,C
459974,A
459975,A
459981,D
459986,A
459995,A
459996,C
459998,B
460004,B
460006,D
460014,D
460023,A
460027,D
460033,A
460036,D
460040,B
460045,B
460046,B
460050,A
460051,A
460052,B
460058,A
460059,D
460061,D
460066,D
460068,B
460073,B
460075,B
460079,A
460081,A
460088,A
460090,A
460093,B
460095,C
460097,B
460099,A
460101,D
460103,D
460105,B
460106,A
460107,C
460108,C
460109,C
460110,B
460112,C
460116,D
460118,C
460119,D
460122,B
460124,B
460126,D
460134,D
460135,D
460140,B
460141,A
460144,A
460146,B
460147,C
460157,D
460160,D
460162,D
460166,D
460167,B
460168,C
460171,B
460174,D
460175,C
460177,B
460179,B
460183,A
460185,D
460187,B
460189,D
460190,D
460192,A
460196,D
460206,B
460211,A
460212,D
460214,C
460222,D
460223,A
460227,C
460242,D
460243,A
460247,D
460248,D
460252,A
460263,A
460265,C
460270,A
460272,D
460275,C
460276,C
460281,D
460283,C
460284,D
460287,A
460289,C
460298,A
460303,A
460305,D
460306,D
460310,C
460315,D
460319,D
460322,A
460323,A
460324,D
460327,C
460333,A
460336,D
460340,A
460341,D
460344,A
460346,C
