ctrust,cuntrust,last,context,score
4,1,4,sport,untrustworthy
4,1,4,sport,untrustworthy
1,4,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,4,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,4,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,4,4,sport,trustworthy
1,4,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
1,4,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
1,4,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
1,4,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
1,4,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
1,4,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
1,4,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
1,4,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
1,4,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,sport,untrustworthy
1,3,4,sport,trustworthy
2,1,4,sport,trustworthy
3,1,4,sport,trustworthy
4,1,4,game,trustworthy
1,4,1,ECommerce,untrustworthy
4,1,4,game,trustworthy
4,1,3,game,trustworthy
4,1,3,game,trustworthy
1,5,4,ECommerce,untrustworthy
1,5,4,ECommerce,untrustworthy
4,1,2,game,trustworthy
4,1,2,game,trustworthy
4,1,2,game,trustworthy
1,4,4,ECommerce,untrustworthy
1,4,1,ECommerce,untrustworthy
4,1,3,game,trustworthy
4,1,2,game,trustworthy
4,1,2,game,trustworthy
4,1,2,game,trustworthy
1,4,4,ECommerce,untrustworthy
1,4,1,ECommerce,untrustworthy
4,1,3,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
1,4,1,ECommerce,untrustworthy
4,1,3,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
1,4,1,ECommerce,untrustworthy
4,1,3,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
4,1,2,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
4,1,2,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
4,1,2,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
1,4,4,ECommerce,untrustworthy
4,1,2,game,trustworthy
4,1,1,game,trustworthy
4,1,1,game,trustworthy
