department,education,gender,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted,sum_metric,total_score
7,3,0,1,35,5.0,8,1,0,49,0,6.0,49
4,2,1,1,30,5.0,4,0,0,60,0,5.0,60
7,2,1,1,34,3.0,7,0,0,50,0,3.0,50
7,2,1,2,39,1.0,10,0,0,50,0,1.0,100
8,2,1,1,45,3.0,2,0,0,73,0,3.0,73
0,2,1,2,31,3.0,7,0,0,85,0,3.0,170
4,2,0,1,31,3.0,5,0,0,59,0,3.0,59
4,3,1,1,33,3.0,6,0,0,63,0,3.0,63
0,2,1,1,28,4.0,5,0,0,83,0,4.0,83
7,3,1,1,32,5.0,5,1,0,54,0,6.0,54
8,2,1,1,30,3.0,1,0,0,77,0,3.0,77
7,2,0,1,35,5.0,3,1,0,50,1,6.0,50
7,2,1,1,49,5.0,5,1,0,49,0,6.0,49
8,3,1,2,39,3.0,16,0,0,80,0,3.0,160
6,3,1,1,37,3.0,7,0,0,84,0,3.0,84
4,2,1,1,37,1.0,10,0,0,60,0,1.0,60
8,2,1,1,38,3.0,5,1,0,77,0,4.0,77
7,2,1,1,34,1.0,4,0,0,51,0,1.0,51
7,2,1,1,34,5.0,8,1,0,46,0,6.0,46
4,2,1,1,37,3.0,9,0,0,59,0,3.0,59
5,2,1,1,35,3.0,7,0,0,75,0,3.0,75
4,2,1,1,41,4.0,11,0,0,57,0,4.0,57
1,2,0,1,28,3.0,4,0,0,63,0,3.0,63
5,2,1,1,27,3.0,1,0,0,70,0,3.0,70
1,3,1,2,39,5.0,7,0,0,59,0,5.0,118
8,2,1,1,27,5.0,3,1,0,83,0,6.0,83
5,2,1,1,31,5.0,4,1,0,68,0,6.0,68
8,2,1,1,33,4.0,4,0,0,79,0,4.0,79
0,2,1,1,29,5.0,3,1,0,80,0,6.0,80
7,2,1,1,26,3.0,1,0,0,44,0,3.0,44
5,2,1,1,37,5.0,10,1,0,72,0,6.0,72
1,2,1,2,26,1.0,2,0,0,61,0,1.0,122
7,2,0,1,24,1.0,2,0,0,48,0,1.0,48
4,2,1,2,57,4.0,6,0,0,58,0,4.0,116
0,2,1,2,27,5.0,3,1,0,87,0,6.0,174
7,2,1,1,40,2.0,4,1,0,47,0,3.0,47
8,2,1,1,33,4.0,4,1,0,75,0,5.0,75
7,2,0,1,40,5.0,3,0,0,47,0,5.0,47
7,3,1,1,42,5.0,5,1,0,51,0,6.0,51
7,2,1,1,33,5.0,6,1,0,51,1,6.0,51
8,2,1,1,34,3.0,10,0,0,80,0,3.0,80
4,2,0,2,23,4.0,2,1,0,57,0,5.0,114
2,2,1,1,59,4.0,26,1,0,52,0,5.0,52
7,2,1,3,24,2.0,2,0,0,48,0,2.0,144
0,2,1,1,44,5.0,12,0,0,88,0,5.0,88
5,2,0,1,50,5.0,11,0,0,71,0,5.0,71
5,3,0,1,37,4.0,4,0,0,71,0,4.0,71
8,2,1,1,40,3.0,11,0,0,80,0,3.0,80
7,2,1,1,30,3.0,3,1,0,49,0,4.0,49
5,3,0,1,56,3.0,12,0,0,73,0,3.0,73
1,2,1,1,20,4.0,2,1,0,60,0,5.0,60
7,2,0,1,31,3.0,8,0,0,48,0,3.0,48
5,2,1,1,40,3.0,12,1,0,65,0,4.0,65
2,2,1,1,30,1.0,6,0,0,50,0,1.0,50
4,2,1,1,39,3.0,5,1,0,62,0,4.0,62
0,2,1,2,26,2.0,2,0,0,85,0,2.0,170
7,2,0,1,29,3.0,1,0,0,49,0,3.0,49
6,3,1,1,40,3.0,5,1,0,84,0,4.0,84
7,2,1,2,27,3.0,1,1,0,47,0,4.0,94
7,2,1,1,40,4.0,7,0,0,52,0,4.0,52
7,3,1,1,50,4.0,17,1,0,47,1,5.0,47
7,2,1,1,25,3.0,3,0,0,53,0,3.0,53
0,2,0,1,28,3.0,1,1,0,80,0,4.0,80
7,3,1,1,35,4.0,2,1,0,52,0,5.0,52
6,2,1,1,34,5.0,5,0,0,87,0,5.0,87
4,3,0,1,31,3.0,3,1,0,58,0,4.0,58
1,2,1,1,27,3.0,1,1,1,58,1,5.0,58
7,2,1,1,27,3.0,1,0,0,61,1,3.0,61
5,2,1,1,30,4.0,6,1,0,75,0,5.0,75
0,2,1,1,30,3.0,7,1,0,84,1,4.0,84
4,2,0,1,50,5.0,5,1,0,59,0,6.0,59
8,3,1,1,34,5.0,7,1,0,78,1,6.0,78
7,3,0,1,41,1.0,12,0,0,52,0,1.0,52
7,2,1,1,32,4.0,6,0,0,44,0,4.0,44
7,2,1,1,50,3.0,14,0,0,52,0,3.0,52
7,3,1,1,38,4.0,2,1,0,49,1,5.0,49
7,2,1,2,29,1.0,5,0,0,51,0,1.0,102
7,2,1,1,35,4.0,3,1,0,53,0,5.0,53
0,2,1,1,25,3.0,2,1,0,91,0,4.0,91
7,2,1,1,30,3.0,3,0,0,58,1,3.0,58
8,2,1,1,47,3.0,7,0,0,79,0,3.0,79
4,3,1,1,35,2.0,7,0,0,53,0,2.0,53
7,2,1,2,25,3.0,2,0,0,53,0,3.0,106
6,2,1,1,36,4.0,8,0,0,82,0,4.0,82
3,2,1,1,29,3.0,1,0,0,65,1,3.0,65
4,3,0,1,42,5.0,11,1,0,60,1,6.0,60
2,2,0,1,28,2.0,6,0,0,52,0,2.0,52
7,2,1,1,39,1.0,9,0,0,49,0,1.0,49
5,3,1,1,32,5.0,3,1,0,69,1,6.0,69
7,2,0,1,31,3.0,1,0,0,51,0,3.0,51
7,2,0,1,20,3.0,1,0,0,55,0,3.0,55
0,2,1,1,34,3.0,8,0,0,85,0,3.0,85
5,3,1,2,46,4.0,3,1,0,74,0,5.0,148
2,3,1,1,47,3.0,7,0,0,44,0,3.0,44
4,2,0,1,44,4.0,13,0,0,53,0,4.0,53
0,2,1,1,31,4.0,4,1,0,86,0,5.0,86
8,2,0,1,23,3.0,1,0,0,77,0,3.0,77
4,2,0,1,33,3.0,5,0,0,57,0,3.0,57
7,2,1,1,41,3.0,12,1,0,52,0,4.0,52
1,3,1,1,60,5.0,17,0,0,59,0,5.0,59
4,2,1,1,31,5.0,4,1,0,63,1,6.0,63
4,2,0,1,37,3.0,11,0,0,57,0,3.0,57
0,2,1,2,39,3.0,4,1,0,83,0,4.0,166
7,2,1,1,40,5.0,8,1,0,54,0,6.0,54
7,3,1,1,42,5.0,4,0,0,50,0,5.0,50
4,2,1,1,35,4.0,6,1,0,57,1,5.0,57
4,3,0,1,41,4.0,6,1,0,62,0,5.0,62
5,2,0,1,23,3.0,2,0,0,73,0,3.0,73
7,2,1,2,31,3.0,4,0,0,50,0,3.0,100
0,3,1,1,42,2.0,19,0,0,79,0,2.0,79
7,2,1,3,29,4.0,2,0,0,49,0,4.0,147
2,2,0,1,30,3.0,1,1,0,54,0,4.0,54
4,2,1,1,41,4.0,6,1,0,63,0,5.0,63
7,2,0,1,40,3.0,2,1,0,90,1,4.0,90
7,2,1,1,34,5.0,5,0,0,49,0,5.0,49
7,2,0,1,31,4.0,2,0,0,46,0,4.0,46
8,2,1,1,27,5.0,2,0,0,86,1,5.0,86
5,2,1,4,30,3.0,2,0,0,72,0,3.0,288
5,2,0,1,27,4.0,4,1,0,72,1,5.0,72
8,2,1,4,36,4.0,7,0,0,82,0,4.0,328
8,2,1,1,35,4.0,6,0,0,77,0,4.0,77
7,3,1,1,34,5.0,7,1,0,51,1,6.0,51
5,3,1,1,37,5.0,3,0,1,92,1,6.0,92
4,2,0,1,27,3.0,1,1,0,58,0,4.0,58
5,3,1,2,47,3.0,5,1,0,71,0,4.0,142
0,2,1,1,28,3.0,1,1,0,83,0,4.0,83
5,3,0,1,40,5.0,5,0,0,68,0,5.0,68
7,2,0,1,30,3.0,1,0,0,50,0,3.0,50
4,3,1,1,38,5.0,9,1,0,61,0,6.0,61
7,2,1,1,30,3.0,2,0,0,47,0,3.0,47
7,2,0,1,28,5.0,3,0,0,46,0,5.0,46
5,2,1,2,28,5.0,4,1,0,67,0,6.0,134
4,2,1,1,35,4.0,7,0,0,58,0,4.0,58
0,2,1,1,32,3.0,8,0,0,89,1,3.0,89
7,3,1,1,36,5.0,8,0,0,50,0,5.0,50
4,2,1,1,24,3.0,1,1,0,56,0,4.0,56
8,2,1,1,27,3.0,4,1,0,78,0,4.0,78
1,3,1,2,34,3.0,7,0,0,56,0,3.0,112
8,2,0,1,31,4.0,4,1,1,78,0,6.0,78
8,2,0,1,30,4.0,2,0,0,77,0,4.0,77
8,2,0,2,30,3.0,7,1,1,76,0,5.0,152
1,2,1,1,31,3.0,1,1,0,56,0,4.0,56
0,2,1,1,30,5.0,3,1,0,84,0,6.0,84
1,2,1,1,28,3.0,2,0,0,57,0,3.0,57
8,2,1,2,28,3.0,5,0,0,81,0,3.0,162
