Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_Combined
9.3,3,0.016047301,249.8092,1999,3,1,1,3735.138,3
5.92,2,0.019278216,48.2692,2009,3,3,4,443.4228,1
17.5,3,0.016760075,141.618,1999,3,1,1,2097.27,3
19.2,2,0.07048184085069421,182.095,1998,3,3,2,732.38,3
8.93,1,0.07048184085069421,53.8614,1987,1,3,1,994.7052,2
10.395,2,0.07048184085069421,51.4008,2009,3,3,4,556.6088,3
13.65,2,0.012741088999999999,57.6588,1987,1,3,1,343.5528,3
12.6,3,0.127469857,107.7622,1985,3,3,3,4022.7636,3
16.2,2,0.016687114,96.9726,2002,3,2,1,1076.5986,3
19.2,2,0.09444959,187.8214,2007,3,2,1,4710.535,3
11.8,3,0.07048184085069421,45.5402,1999,3,1,1,1516.0266,3
18.5,2,0.045463773,144.1102,1997,2,1,1,2187.153,3
15.1,2,0.1000135,145.4786,1999,3,1,1,1589.2646,3
17.6,2,0.047257328,119.6782,1997,2,1,1,2145.2076,3
16.35,3,0.06802430000000001,196.4426,1987,1,3,1,1977.4260000000002,3
9.0,2,0.06908896099999999,56.3614,1997,2,1,1,1547.3192,3
11.8,1,0.008596051,115.3492,2009,3,3,4,1621.8888,2
9.0,2,0.06919637599999999,54.3614,1999,3,1,1,718.3982,3
12.6,3,0.034237682,113.2834,1985,3,3,3,2303.6679999999997,1
13.35,3,0.10249212,230.5352,2004,2,2,1,2748.4224,3
18.85,2,0.138190277,250.8724,1987,1,3,1,3775.086,3
12.6,2,0.035399923,144.5444,1985,3,3,3,4064.0432,3
14.6,1,0.025698133999999997,196.5084,2004,2,2,1,1587.2672,2
12.6,3,0.057556998,107.6938,1985,2,1,2,214.3876,3
13.85,2,0.025896485,165.021,1997,2,1,1,4078.025,3
13.0,1,0.099887103,45.906000000000006,2007,3,2,1,838.908,2
7.645,2,0.06669343700000001,42.3112,2004,2,2,1,1065.28,3
11.65,3,0.019356131999999998,39.1164,1987,1,3,1,308.9312,1
5.925,2,0.161466534,45.5086,1998,3,3,2,178.4344,3
12.6,2,0.072221801,43.6454,1985,2,1,2,125.8362,3
19.25,3,0.17034855100000001,55.7956,1998,3,3,2,163.7868,3
18.6,1,0.080829372,96.4436,2009,3,3,4,2741.7644,2
18.7,3,0.07048184085069421,256.6672,2009,3,3,4,3068.0064,3
17.85,3,0.07048184085069421,93.1436,2002,3,2,1,2174.5028,3
17.5,3,0.097904029,174.8738,1997,2,1,1,2085.2856,1
10.0,1,0.08929113699999999,146.7102,1999,3,1,1,3791.0652,2
12.6,2,0.059511812000000004,128.0678,1985,3,3,3,2797.6916,3
8.85,2,0.113123893,122.5388,2009,3,3,4,1609.9044,1
12.6,2,0.12311145300000001,36.9874,1985,3,3,3,388.1614,3
12.6,3,0.026480953999999998,87.6198,1985,3,3,3,2180.495,3
13.35,3,0.102511504,230.6352,1997,2,1,1,3435.528,3
9.8,3,0.02681843,126.00200000000001,1987,1,3,1,2150.534,3
13.6,3,0.117818348,192.9136,1999,3,1,1,2527.3768,3
21.35,3,0.06910283099999999,259.9278,2009,3,3,4,6768.5228,3
12.15,2,0.042277867000000004,126.5046,1987,1,3,1,373.5138,3
6.42,3,0.08949892599999999,178.1002,1998,3,3,2,358.2004,3
19.6,1,0.07048184085069421,153.3024,2002,3,2,1,2428.8384,2
10.0,3,0.025879577,265.2226,2002,3,2,1,5815.0972,3
15.85,2,0.121632721,60.622,1997,2,1,1,2576.646,3
12.6,2,0.25539489600000004,196.8794,1985,2,1,2,780.3176,3
7.39,1,0.067779712,143.8812,1997,2,1,1,3134.5864,2
10.195,3,0.159803853,141.5154,1987,1,3,1,850.8924,3
9.895,2,0.028696932,117.0492,1987,1,3,1,810.9444,3
10.895,3,0.065041581,196.3794,2007,3,2,1,3121.2704,3
12.15,1,0.028760012999999997,151.4708,2007,3,2,1,4815.0656,2
7.905,3,0.010053105,249.0408,2009,3,3,4,6258.52,3
9.195,1,0.048157338,106.1622,2002,3,2,1,2117.244,2
8.365,3,0.071958197,38.0506,1999,3,1,1,796.9626,1
15.1,3,0.17348130399999998,194.511,1997,2,1,1,4910.275,3
12.6,3,0.061082177,180.0344,1985,2,1,2,892.172,3
10.0,3,0.07048184085069421,246.9144,2009,3,3,4,3185.1872,3
7.97,2,0.040071131,87.3514,2002,3,2,1,1062.6168,3
12.6,3,0.012090074,38.2848,1985,3,3,3,484.7024,3
12.6,2,0.15028599,51.0692,1985,2,1,2,147.8076,3
12.6,3,0.026015518999999997,255.8356,1985,3,3,3,2543.356,3
17.7,3,0.195068226,185.4266,1998,3,3,2,184.4266,3
19.35,3,0.033082215,172.5738,2004,2,2,1,4865.6664,3
13.65,2,0.078946455,186.024,2002,3,2,1,1118.5439999999999,3
17.6,3,0.041700756,164.8526,2002,3,2,1,2302.3364,1
8.645,1,0.14342264300000002,95.84100000000001,1997,2,1,1,2027.361,2
15.6,2,0.10529607199999999,170.1764,1997,2,1,1,3435.528,3
15.85,2,0.121531501,59.222,1987,1,3,1,599.22,3
18.25,3,0.07048184085069421,164.7526,2002,3,2,1,4604.6728,3
7.855,3,0.011324862,189.6188,2007,3,2,1,2285.0256,3
7.825,1,0.186357148,254.3698,1999,3,1,1,5580.7356,2
8.39,2,0.024205661,114.0176,1997,2,1,1,2290.3520000000003,3
12.85,3,0.033230816,172.3422,1999,3,1,1,1207.0954,3
12.6,3,0.113720344,89.9804,1985,2,1,2,643.1628,3
19.0,3,0.11255650699999999,104.9622,2007,3,2,1,1587.933,3
5.905,3,0.07048184085069421,222.5456,2002,3,2,1,5305.0944,3
7.76,3,0.05935224099999999,101.87,1997,2,1,1,1697.79,3
11.8,2,0.014087057,180.3344,1997,2,1,1,1427.4752,3
16.75,3,0.045230944,187.9556,2009,3,3,4,4693.89,3
12.6,1,0.293417759,194.6136,1985,2,1,2,583.2408,2
12.6,2,0.031382044,171.3764,1985,3,3,3,3091.9752,3
15.5,2,0.12639886,177.0028,2007,3,2,1,2479.4392,3
6.055,3,0.025403897999999998,160.99200000000002,2004,2,2,1,2716.4640000000004,3
12.6,2,0.039057677,155.963,1985,3,3,3,3285.723,3
6.305,2,0.123115764,95.6436,1997,2,1,1,661.8052,3
20.85,3,0.039624006,117.2808,1999,3,1,1,1523.3504,3
20.75,3,0.040421193,122.17299999999999,1998,3,3,2,369.519,3
8.895,3,0.10527411099999999,39.9138,1999,3,1,1,690.4346,1
19.6,3,0.033970195,55.1614,2002,3,2,1,1381.535,1
19.7,3,0.053212652,57.893,2004,2,2,1,622.523,3
9.8,1,0.024378706,114.5492,2004,2,2,1,1274.3412,2
12.6,3,0.009714595,120.0414,1985,2,1,2,487.3656,3
12.15,3,0.131383762,246.046,1999,3,1,1,1231.73,3
8.75,2,0.07461309,187.4556,2004,2,2,1,3755.112,3
12.6,1,0.028459761,149.9708,1985,3,3,3,4363.6532,2
8.75,2,0.07462720099999999,187.8556,1997,2,1,1,1314.2892,3
13.3,3,0.063695084,151.0708,2002,3,2,1,1805.6496,3
12.6,2,0.045797829000000005,178.5344,1985,3,3,3,2854.9504,3
8.31,2,0.11585722300000001,179.1028,1999,3,1,1,3896.2616,3
16.75,2,0.024832806000000002,38.7822,1987,1,3,1,667.7974,1
19.75,3,0.034027909,212.0902,2009,3,3,4,3185.853,3
17.1,2,0.046769599999999995,141.1838,1987,1,3,1,2247.7408,3
10.5,2,0.11657670199999999,163.121,1987,1,3,1,1794.3310000000001,3
6.635,2,0.07048184085069421,121.3098,2002,3,2,1,2530.7058,3
12.6,3,0.278974075,225.372,1985,2,1,2,679.1160000000001,1
14.15,3,0.035913805,41.4138,1987,1,3,1,812.2760000000001,1
13.3,3,0.079806266,232.53,1997,2,1,1,699.09,3
8.89,3,0.005505481,102.4016,2007,3,2,1,2732.4432,3
12.6,2,0.064625342,176.937,1985,2,1,2,176.437,3
12.6,3,0.071636937,121.7098,1985,3,3,3,4097.3332,3
9.1,2,0.07048184085069421,173.2054,2002,3,2,1,3151.8972,3
7.5,3,0.032677677999999995,239.0906,1999,3,1,1,5942.265,3
16.85,2,0.160760054,192.4478,2007,3,2,1,4843.695,3
7.485,3,0.06911065,109.0228,2004,2,2,1,2542.0244,3
11.6,3,0.041177505,140.3154,2007,3,2,1,2552.6772,1
11.65,3,0.040081193,227.0694,2009,3,3,4,1141.847,3
13.0,1,0.035307322,47.5034,2007,3,2,1,680.4476,2
12.65,3,0.063017847,159.0578,2002,3,2,1,2085.9514,1
20.25,2,0.171938781,92.512,1998,3,3,2,186.424,3
8.6,2,0.040197932,190.153,2004,2,2,1,3036.048,3
12.6,3,0.049058014000000004,62.7194,2007,3,2,1,866.8716,3
17.7,3,0.01161096,95.041,2004,2,2,1,868.8689999999999,3
