Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Outlet_Years,Item_Visibility_MeanRatio,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_1,Outlet_Size_2,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDA15,9.3,0.016047301,Dairy,249.8092,OUT049,1999,3735.138,14,0.9310779543761083,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
DRC01,5.92,0.019278216,Soft Drinks,48.2692,OUT018,2009,443.4228,4,0.9334195208758378,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDN15,17.5,0.016760075,Meat,141.618,OUT049,1999,2097.27,14,0.9600687539048446,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDX07,19.2,0.0,Fruits and Vegetables,182.095,OUT010,1998,732.38,15,0.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCD19,8.93,0.0,Household,53.8614,OUT013,1987,994.7052,26,0.0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
FDP36,10.395,0.0,Baking Goods,51.4008,OUT018,2009,556.6088,4,0.0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDO10,13.65,0.012741088999999999,Snack Foods,57.6588,OUT013,1987,343.5528,26,1.4971974776517427,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDP10,19.0,0.127469857,Snack Foods,107.7622,OUT027,1985,4022.7636,28,0.8704928816397633,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDH17,16.2,0.016687114,Frozen Foods,96.9726,OUT045,2002,1076.5986,11,0.9241603619293527,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDU28,19.2,0.09444959,Frozen Foods,187.8214,OUT017,2007,4710.535,6,0.9639830398302507,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
FDY07,11.8,0.0,Fruits and Vegetables,45.5402,OUT049,1999,1516.0266,14,0.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDA03,18.5,0.045463773,Dairy,144.1102,OUT046,1997,2187.153,16,1.0366952071584155,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDX32,15.1,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,1589.2646,14,1.026359813124039,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDS46,17.6,0.047257328,Snack Foods,119.6782,OUT046,1997,2145.2076,16,0.922289906298101,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDF32,16.35,0.06802430000000001,Fruits and Vegetables,196.4426,OUT013,1987,1977.4260000000002,26,1.1713313653743493,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDP49,9.0,0.06908896099999999,Breakfast,56.3614,OUT046,1997,1547.3192,16,1.0280725124413592,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
NCB42,11.8,0.008596051,Health and Hygiene,115.3492,OUT018,2009,1621.8888,4,1.0031395479206202,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
FDP49,9.0,0.06919637599999999,Breakfast,54.3614,OUT049,1999,718.3982,14,1.0296708923753675,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
DRI11,8.26,0.034237682,Hard Drinks,113.2834,OUT027,1985,2303.6679999999997,28,0.8704928693111866,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.10249212,Dairy,230.5352,OUT035,2004,2748.4224,9,0.922115518306462,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
FDN22,18.85,0.138190277,Snack Foods,250.8724,OUT013,1987,3775.086,26,1.1399044941112717,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDW12,8.315,0.035399923,Baking Goods,144.5444,OUT027,1985,4064.0432,28,0.9543090781180374,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
NCB30,14.6,0.025698133999999997,Household,196.5084,OUT035,2004,1587.2672,9,0.8628943947372766,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
FDC37,15.5,0.057556998,Baking Goods,107.6938,OUT019,1985,214.3876,28,1.5315371875133978,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDR28,13.85,0.025896485,Frozen Foods,165.021,OUT046,1997,4078.025,16,0.9296326154440038,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
NCD06,13.0,0.099887103,Household,45.906000000000006,OUT017,2007,838.908,6,0.9275067672165533,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
FDV10,7.645,0.06669343700000001,Snack Foods,42.3112,OUT035,2004,1065.28,9,1.0602351029427202,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
DRJ59,11.65,0.019356131999999998,Hard Drinks,39.1164,OUT013,1987,308.9312,26,1.035277578029896,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
FDE51,5.925,0.161466534,Dairy,45.5086,OUT010,1998,178.4344,15,1.4445814400022103,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FDC14,14.5,0.072221801,Canned,43.6454,OUT019,1985,125.8362,28,1.679002681283213,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDV38,19.25,0.17034855100000001,Dairy,55.7956,OUT010,1998,163.7868,15,1.4641166675359907,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCS17,18.6,0.080829372,Health and Hygiene,96.4436,OUT018,2009,2741.7644,4,1.0031395405819457,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
FDP33,18.7,0.0,Snack Foods,256.6672,OUT018,2009,3068.0064,4,0.0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDO23,17.85,0.0,Breads,93.1436,OUT045,2002,2174.5028,11,0.0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
DRH01,17.5,0.097904029,Soft Drinks,174.8738,OUT046,1997,2085.2856,16,0.9222899199987084,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
NCX29,10.0,0.08929113699999999,Health and Hygiene,146.7102,OUT049,1999,3791.0652,14,0.8760887635003263,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
FDV20,20.2,0.059511812000000004,Fruits and Vegetables,128.0678,OUT027,1985,2797.6916,28,0.9544539631769144,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
DRZ11,8.85,0.113123893,Soft Drinks,122.5388,OUT018,2009,1609.9044,4,1.003139534910143,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDX10,6.384999999999999,0.12311145300000001,Snack Foods,36.9874,OUT027,1985,388.1614,28,1.0227997426879307,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDB34,15.25,0.026480953999999998,Snack Foods,87.6198,OUT027,1985,2180.495,28,0.9251308290764401,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.102511504,Dairy,230.6352,OUT046,1997,3435.528,16,0.9222899150035627,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDK43,9.8,0.02681843,Meat,126.00200000000001,OUT013,1987,2150.534,26,0.9215224160526706,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDA46,13.6,0.117818348,Snack Foods,192.9136,OUT049,1999,2527.3768,14,0.9310779364692868,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
FDC02,21.35,0.06910283099999999,Canned,259.9278,OUT018,2009,6768.5228,4,0.9334195377024116,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDL50,12.15,0.042277867000000004,Canned,126.5046,OUT013,1987,373.5138,26,0.9980787902561443,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDM39,6.42,0.08949892599999999,Dairy,178.1002,OUT010,1998,358.2004,15,1.464116667660315,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NCP05,19.6,0.0,Health and Hygiene,153.3024,OUT045,2002,2428.8384,11,0.0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
FDV49,10.0,0.025879577,Canned,265.2226,OUT045,2002,5815.0972,11,0.9241603460120508,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDL12,15.85,0.121632721,Baking Goods,60.622,OUT046,1997,2576.646,16,0.8747287915078714,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDS02,10.195000000000002,0.25539489600000004,Dairy,196.8794,OUT019,1985,780.3176,28,2.0308877247907904,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
NCL17,7.39,0.067779712,Health and Hygiene,143.8812,OUT046,1997,3134.5864,16,0.8747287887220742,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
FDM40,10.195,0.159803853,Frozen Foods,141.5154,OUT013,1987,850.8924,26,1.0365304276483922,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDR13,9.895,0.028696932,Canned,117.0492,OUT013,1987,810.9444,26,0.8740008759338731,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
FDA43,10.895,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,3121.2704,6,0.8796766099576357,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
NCP18,12.15,0.028760012999999997,Household,151.4708,OUT017,2007,4815.0656,6,0.9275067647960544,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
FDK21,7.905,0.010053105,Snack Foods,249.0408,OUT018,2009,6258.52,4,0.9334195624341675,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
NCX54,9.195,0.048157338,Household,106.1622,OUT045,2002,2117.244,11,0.9315179298292239,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
DRK35,8.365,0.071958197,Hard Drinks,38.0506,OUT049,1999,796.9626,14,0.8760887617519185,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
FDY21,15.1,0.17348130399999998,Snack Foods,194.511,OUT046,1997,4910.275,16,1.1416630232284466,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
FDI26,5.9399999999999995,0.061082177,Canned,180.0344,OUT019,1985,892.172,28,1.61481058875214,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDM20,10.0,0.0,Fruits and Vegetables,246.9144,OUT018,2009,3185.1872,4,0.0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
FDV27,7.97,0.040071131,Meat,87.3514,OUT045,2002,1062.6168,11,0.8503936434710149,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
FDF09,6.215,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,484.7024,28,0.9251308536486637,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDY40,15.5,0.15028599,Frozen Foods,51.0692,OUT019,1985,147.8076,28,1.8569920498948196,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDY45,17.5,0.026015518999999997,Snack Foods,255.8356,OUT027,1985,2543.356,28,1.1658562566726927,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
FDC46,17.7,0.195068226,Snack Foods,185.4266,OUT010,1998,184.4266,15,1.5560143953260468,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FDH19,19.35,0.033082215,Meat,172.5738,OUT035,2004,4865.6664,9,0.9221155127052099,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
FDZ03,13.65,0.078946455,Dairy,186.024,OUT045,2002,1118.5439999999999,11,1.044138187445984,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
